anno_01,anno_02,anno_03
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Missing,Missing,Expense.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Missing,Missing,SalesVolume.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Product/Service.None,Missing,Missing
Product/Service.None,Missing,Missing
Profit/Loss.None,Missing,Profit/Loss.None
SalesVolume.None,Missing,SalesVolume.None
Product/Service.None,Product/Service.None,Product/Service.None
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Missing,Missing,Macroeconomics.None
FinancialReport.None,FinancialReport.Beat,Missing
FinancialReport.None,Missing,Missing
Missing,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Missing,Missing
FinancialReport.None,FinancialReport.None,Missing
Missing,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Missing,Missing,Product/Service.Launch
Product/Service.None,Missing,Missing
Missing,Macroeconomics.None,Macroeconomics.None
Product/Service.None,Macroeconomics.None,Missing
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Missing,SalesVolume.Increase_SalesVolume
Profit/Loss.None,Profit/Loss.Stable_Profit/Loss,Profit/Loss.Stable_Profit/Loss
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,Missing
Missing,Missing,SalesVolume.Increase_SalesVolume
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
CSR/Brand.None,CSR/Brand.None,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Profit/Loss.Stable_Profit/Loss,Profit/Loss.Stable_Profit/Loss
Missing,CSR/Brand.None,Missing
Expense.None,Expense.None,Expense.None
Product/Service.None,Missing,Missing
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
Missing,Missing,SalesVolume.None
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,FinancialReport.None
Profit/Loss.Increase_Profit/Loss,Profit/Loss.Increase_Profit/Loss,Profit/Loss.Increase_Profit/Loss
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,FinancialReport.None
SalesVolume.Increase_SalesVolume,Missing,Missing
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,Macroeconomics.None
Missing,Product/Service.None,Missing
Missing,Missing,Revenue.None
SalesVolume.Increase_SalesVolume,Missing,Missing
Missing,SalesVolume.Increase_SalesVolume,Missing
Missing,Missing,SalesVolume.Increase_SalesVolume
Missing,Missing,SalesVolume.Increase_SalesVolume
Missing,SalesVolume.Increase_SalesVolume,Missing
FinancialReport.Beat,Missing,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
FinancialReport.Beat,Missing,Missing
Missing,Missing,SalesVolume.Increase_SalesVolume
SalesVolume.Increase_SalesVolume,SalesVolume.None,Missing
Missing,Missing,Revenue.None
Missing,Missing,Profit/Loss.None
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
Macroeconomics.None,Missing,Macroeconomics.None
SecurityValue.Increase_SecurityValue,Missing,FinancialReport.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Profit/Loss.None,Profit/Loss.Increase_Profit/Loss,Missing
Missing,Missing,Profit/Loss.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
SecurityValue.None,Missing,Missing
SalesVolume.Decrease_SalesVolume,Missing,SalesVolume.Decrease_SalesVolume
Missing,SalesVolume.Decrease_SalesVolume,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Missing,Macroeconomics.None
Product/Service.Launch,Product/Service.Launch,Missing
Product/Service.None,Missing,Missing
Product/Service.Launch,Product/Service.Launch,Product/Service.Launch
Macroeconomics.None,Macroeconomics.None,Missing
Missing,Missing,Macroeconomics.None
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
SalesVolume.Increase_SalesVolume,Missing,SalesVolume.Increase_SalesVolume
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
SecurityValue.None,SecurityValue.None,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
FinancialReport.None,Missing,Missing
Expense.Decrease_Expense,Expense.Decrease_Expense,Macroeconomics.None
Expense.None,Expense.None,Missing
Missing,Missing,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Product/Service.None,Missing,Missing
Product/Service.None,Missing,Missing
Product/Service.Launch,Product/Service.Launch,Product/Service.Launch
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Missing,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
Rating.Hold,Rating.Hold,Rating.Hold
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
Missing,Macroeconomics.None,Macroeconomics.None
Missing,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Missing,Missing
SalesVolume.None,SalesVolume.None,SalesVolume.None
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
SalesVolume.Increase_SalesVolume,Missing,Missing
Missing,SalesVolume.Increase_SalesVolume,Missing
Revenue.None,Revenue.None,Missing
Missing,Missing,Revenue.None
Revenue.None,Revenue.None,Missing
Missing,Missing,Revenue.None
Revenue.None,Revenue.None,Revenue.None
SalesVolume.None,Revenue.None,Revenue.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Revenue.Increase_Revenue,Missing,Revenue.None
Missing,Revenue.None,Missing
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Missing
Missing,Missing,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.None,Revenue.None,Missing
Revenue.None,Missing,Missing
Missing,SalesVolume.None,SalesVolume.None
Revenue.None,Missing,Missing
Missing,SalesVolume.None,SalesVolume.None
Missing,SalesVolume.None,SalesVolume.None
Revenue.None,Revenue.None,Revenue.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.None,SalesVolume.None,SalesVolume.None
Revenue.None,Revenue.None,Revenue.None
Revenue.Increase_Revenue,Missing,Revenue.Increase_Revenue
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Decrease_Revenue,Revenue.Decrease_Revenue,Revenue.Decrease_Revenue
Revenue.Increase_Revenue,Missing,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Increase_Revenue,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
Revenue.None,SalesVolume.None,SalesVolume.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.None
Missing,Missing,Revenue.Increase_Revenue
Revenue.None,Revenue.None,Missing
Revenue.None,Missing,Missing
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
Missing,Missing,Revenue.None
Missing,Missing,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Missing,Revenue.Increase_Revenue
Missing,Missing,Profit/Loss.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Missing,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Missing,Macroeconomics.None,SecurityValue.Decrease_SecurityValue
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Missing,Missing,Macroeconomics.None
CSR/Brand.None,CSR/Brand.None,Missing
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Macroeconomics.None,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Missing,Missing,Macroeconomics.None
Missing,Missing,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Missing,Missing
Missing,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Missing
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Financing.None,Missing,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Product/Service.None,Product/Service.None,Missing
Product/Service.None,Product/Service.Launch,Product/Service.Launch
Missing,Deal.None,Deal.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
CSR/Brand.None,Missing,Missing
CSR/Brand.None,Missing,CSR/Brand.None
Missing,Missing,Deal.None
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
Missing,Missing,CSR/Brand.None
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Missing,Missing
Missing,Missing,Macroeconomics.None
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Missing,Macroeconomics.None
Missing,Missing,Deal.None
Macroeconomics.None,Missing,Missing
Missing,Merger/Acquisition.None,Missing
SecurityValue.Decrease_SecurityValue,Macroeconomics.None,SecurityValue.Decrease_SecurityValue
Missing,Missing,Deal.None
Missing,Missing,Deal.None
Macroeconomics.None,Missing,Macroeconomics.None
Missing,Product/Service.Launch,Missing
Product/Service.None,Missing,Missing
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
Macroeconomics.None,Missing,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Missing,Missing
Financing.None,Missing,Missing
Missing,Missing,Facility.Open
Missing,Missing,Merger/Acquisition.None
Merger/Acquisition.None,Missing,Merger/Acquisition.None
Merger/Acquisition.None,Missing,Merger/Acquisition.None
Deal.None,Deal.None,Deal.None
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
SecurityValue.Increase_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Increase_SecurityValue
