anno_01,anno_02,anno_03
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,positive,positive
Missing,Missing,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,Missing,Missing
positive,Missing,positive
positive,Missing,positive
positive,positive,positive
positive,Missing,positive
positive,positive,Missing
Missing,Missing,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,Missing,Missing
positive,positive,Missing
Missing,positive,positive
positive,Missing,Missing
Missing,Missing,positive
positive,Missing,Missing
Missing,positive,positive
positive,positive,Missing
positive,positive,Missing
positive,positive,negative
Missing,Missing,negative
positive,positive,positive
negative,negative,Missing
Missing,Missing,negative
positive,positive,positive
positive,positive,Missing
positive,positive,positive
Missing,positive,positive
Missing,positive,Missing
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
Missing,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
Missing,positive,Missing
Missing,Missing,positive
positive,Missing,Missing
Missing,positive,Missing
Missing,Missing,positive
Missing,Missing,positive
Missing,positive,Missing
positive,Missing,Missing
positive,positive,positive
positive,Missing,Missing
Missing,Missing,positive
positive,positive,Missing
Missing,Missing,positive
Missing,Missing,positive
positive,positive,positive
positive,Missing,positive
positive,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,Missing
Missing,Missing,positive
positive,positive,positive
positive,Missing,Missing
positive,Missing,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,Missing
positive,positive,Missing
positive,positive,positive
Missing,Missing,positive
negative,negative,Missing
positive,Missing,Missing
positive,positive,positive
positive,positive,Missing
Missing,Missing,positive
positive,positive,positive
positive,Missing,positive
positive,positive,positive
positive,positive,Missing
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,positive,Missing
Missing,Missing,positive
positive,positive,Missing
positive,Missing,Missing
positive,Missing,Missing
negative,negative,negative
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,positive,Missing
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,positive,positive
Missing,positive,positive
positive,positive,Missing
positive,positive,Missing
positive,Missing,Missing
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
Missing,positive,Missing
positive,positive,Missing
Missing,Missing,positive
positive,positive,Missing
Missing,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,positive
Missing,positive,Missing
positive,positive,Missing
Missing,Missing,positive
positive,positive,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,Missing,Missing
Missing,positive,positive
Missing,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,positive,Missing
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
Missing,Missing,positive
positive,Missing,positive
Missing,Missing,positive
positive,positive,positive
Missing,positive,positive
positive,Missing,Missing
Missing,positive,positive
positive,Missing,positive
positive,Missing,Missing
positive,positive,positive
positive,Missing,positive
positive,Missing,Missing
Missing,Missing,positive
positive,positive,Missing
negative,Missing,Missing
positive,Missing,positive
positive,positive,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
Missing,Missing,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,positive,Missing
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,positive,Missing
positive,positive,positive
Missing,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,Missing,positive
Missing,Missing,positive
positive,positive,positive
Missing,Missing,positive
positive,Missing,Missing
positive,Missing,Missing
Missing,Missing,positive
positive,positive,positive
positive,Missing,positive
positive,Missing,Missing
positive,Missing,positive
Missing,Missing,positive
positive,Missing,Missing
Missing,positive,Missing
positive,positive,positive
Missing,Missing,positive
Missing,Missing,positive
positive,Missing,positive
Missing,positive,Missing
positive,Missing,Missing
positive,positive,positive
positive,Missing,positive
positive,Missing,Missing
positive,positive,positive
positive,Missing,Missing
negative,Missing,Missing
Missing,Missing,positive
Missing,Missing,positive
positive,Missing,positive
positive,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,Missing,positive
positive,Missing,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,Missing,Missing
positive,positive,Missing
Missing,positive,positive
Missing,positive,positive
Missing,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,positive,positive
positive,positive,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,positive,positive
positive,Missing,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
positive,positive,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,Missing
positive,Missing,Missing
Missing,positive,Missing
positive,Missing,Missing
Missing,positive,positive
positive,positive,positive
positive,positive,positive
positive,Missing,Missing
positive,Missing,Missing
positive,positive,positive
Missing,positive,Missing
positive,positive,positive
positive,positive,positive
positive,positive,Missing
positive,positive,Missing
