anno_01,anno_02,anno_03
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
,,Expense.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
,,SalesVolume.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Product/Service.None,,
Product/Service.None,,
Profit/Loss.None,,Profit/Loss.None
SalesVolume.None,,SalesVolume.None
Product/Service.None,Product/Service.None,Product/Service.None
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
,,Macroeconomics.None
FinancialReport.None,FinancialReport.Beat,
FinancialReport.None,,
,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,,
FinancialReport.None,FinancialReport.None,
,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,,
,,Product/Service.Launch
Product/Service.None,,
,Macroeconomics.None,Macroeconomics.None
Product/Service.None,Macroeconomics.None,
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,,SalesVolume.Increase_SalesVolume
Profit/Loss.None,Profit/Loss.Stable_Profit/Loss,Profit/Loss.Stable_Profit/Loss
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,
,,SalesVolume.Increase_SalesVolume
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
CSR/Brand.None,CSR/Brand.None,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,Profit/Loss.Stable_Profit/Loss,Profit/Loss.Stable_Profit/Loss
,CSR/Brand.None,
Expense.None,Expense.None,Expense.None
Product/Service.None,,
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
,,SalesVolume.None
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,FinancialReport.None
Profit/Loss.Increase_Profit/Loss,Profit/Loss.Increase_Profit/Loss,Profit/Loss.Increase_Profit/Loss
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,FinancialReport.None
SalesVolume.Increase_SalesVolume,,
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,Macroeconomics.None
,Product/Service.None,
,,Revenue.None
SalesVolume.Increase_SalesVolume,,
,SalesVolume.Increase_SalesVolume,
,,SalesVolume.Increase_SalesVolume
,,SalesVolume.Increase_SalesVolume
,SalesVolume.Increase_SalesVolume,
FinancialReport.Beat,,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
FinancialReport.Beat,,
,,SalesVolume.Increase_SalesVolume
SalesVolume.Increase_SalesVolume,SalesVolume.None,
,,Revenue.None
,,Profit/Loss.None
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
Macroeconomics.None,,Macroeconomics.None
SecurityValue.Increase_SecurityValue,,FinancialReport.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
Profit/Loss.None,Profit/Loss.Increase_Profit/Loss,
,,Profit/Loss.None
Profit/Loss.None,Profit/Loss.None,Profit/Loss.None
SecurityValue.None,,
SalesVolume.Decrease_SalesVolume,,SalesVolume.Decrease_SalesVolume
,,SalesVolume.Decrease_SalesVolume
,SalesVolume.Decrease_SalesVolume,
,SalesVolume.Decrease_SalesVolume,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,Macroeconomics.None,
,,Macroeconomics.None
Product/Service.Launch,Product/Service.Launch,
Product/Service.None,,
Product/Service.Launch,Product/Service.Launch,Product/Service.Launch
Macroeconomics.None,Macroeconomics.None,
,,Macroeconomics.None
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
SalesVolume.Increase_SalesVolume,,SalesVolume.Increase_SalesVolume
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
SecurityValue.None,SecurityValue.None,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
FinancialReport.None,,
Expense.Decrease_Expense,Expense.Decrease_Expense,Macroeconomics.None
Expense.None,Expense.None,
,,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
Product/Service.None,,
Product/Service.None,,
Product/Service.Launch,Product/Service.Launch,Product/Service.Launch
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
Rating.Hold,Rating.Hold,Rating.Hold
SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
,Macroeconomics.None,Macroeconomics.None
,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,,
Macroeconomics.None,,
SalesVolume.None,SalesVolume.None,SalesVolume.None
SecurityValue.Increase_SecurityValue,Macroeconomics.None,Macroeconomics.None
SalesVolume.Increase_SalesVolume,,
,SalesVolume.Increase_SalesVolume,
Revenue.None,Revenue.None,
,,Revenue.None
Revenue.None,Revenue.None,
,,Revenue.None
Revenue.None,Revenue.None,Revenue.None
SalesVolume.None,Revenue.None,Revenue.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
Revenue.Increase_Revenue,,Revenue.None
,Revenue.None,
Revenue.Increase_Revenue,Revenue.Increase_Revenue,
,,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.None,Revenue.None,
Revenue.None,,
,SalesVolume.None,SalesVolume.None
Revenue.None,,
,SalesVolume.None,SalesVolume.None
,SalesVolume.None,SalesVolume.None
Revenue.None,Revenue.None,
,Revenue.None,
,,Revenue.None
,,Revenue.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
,,Revenue.Increase_Revenue
Revenue.None,SalesVolume.None,SalesVolume.None
,,SalesVolume.None
Revenue.None,Revenue.None,Revenue.None
Revenue.Increase_Revenue,,Revenue.Increase_Revenue
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Decrease_Revenue,Revenue.Decrease_Revenue,Revenue.Decrease_Revenue
Revenue.Increase_Revenue,,Revenue.Increase_Revenue
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.Increase_Revenue
Revenue.Increase_Revenue,SalesVolume.Increase_SalesVolume,SalesVolume.Increase_SalesVolume
Revenue.None,SalesVolume.None,SalesVolume.None
Revenue.Increase_Revenue,Revenue.Increase_Revenue,Revenue.None
,Revenue.None,
,,Revenue.Increase_Revenue
Revenue.None,Revenue.None,
Revenue.None,,
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
Revenue.None,Revenue.None,Revenue.None
,,Revenue.None
,,Revenue.Increase_Revenue
Revenue.Increase_Revenue,,Revenue.Increase_Revenue
,,Profit/Loss.None
SalesVolume.None,SalesVolume.None,SalesVolume.None
,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,,
,Macroeconomics.None,SecurityValue.Decrease_SecurityValue
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,,
,,Macroeconomics.None
CSR/Brand.None,CSR/Brand.None,
Macroeconomics.None,,
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,Macroeconomics.None,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
,,Macroeconomics.None
,,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,,
,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,
Macroeconomics.None,,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Financing.None,,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Product/Service.None,Product/Service.None,
Product/Service.None,Product/Service.Launch,Product/Service.Launch
,Deal.None,Deal.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
CSR/Brand.None,,
CSR/Brand.None,,CSR/Brand.None
,,Deal.None
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
,,CSR/Brand.None
Macroeconomics.None,,
Macroeconomics.None,,
,,Macroeconomics.None
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,,
Macroeconomics.None,,Macroeconomics.None
,,Deal.None
Macroeconomics.None,,
,Merger/Acquisition.None,
SecurityValue.Decrease_SecurityValue,Macroeconomics.None,SecurityValue.Decrease_SecurityValue
,,Deal.None
,,Deal.None
Macroeconomics.None,,Macroeconomics.None
,Product/Service.Launch,
Product/Service.None,,
Merger/Acquisition.None,Merger/Acquisition.None,Merger/Acquisition.None
Macroeconomics.None,,Macroeconomics.None
Macroeconomics.None,,
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Macroeconomics.None,,
Financing.None,,
,,Facility.Open
,,Merger/Acquisition.None
Merger/Acquisition.None,,Merger/Acquisition.None
Merger/Acquisition.None,,Merger/Acquisition.None
Deal.None,Deal.None,Deal.None
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
SecurityValue.Increase_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Increase_SecurityValue
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
Facility.Open,,
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
,,SecurityValue.Decrease_SecurityValue
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue
SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue,SecurityValue.Decrease_SecurityValue
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue
,,Facility.Open
Macroeconomics.None,,Macroeconomics.None
,SecurityValue.Increase_SecurityValue,
SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue,SecurityValue.Increase_SecurityValue
Product/Service.Launch,Product/Service.Launch,Product/Service.Launch
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
Product/Service.None,,
Product/Service.Launch,,
Macroeconomics.None,Macroeconomics.None,
,SalesVolume.None,SalesVolume.None
,SalesVolume.None,SalesVolume.None
,SalesVolume.None,SalesVolume.None
Macroeconomics.None,Macroeconomics.None,Macroeconomics.None
