jefdhondt,elinevandewalle
negative,negative
negative,negative
negative,negative
negative,negative
positive,positive
positive,positive
negative,
negative,
positive,positive
positive,positive
positive,neutral
positive,positive
positive,positive
negative,negative
positive,positive
positive,positive
negative,negative
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
positive,positive
negative,positive
positive,positive
negative,
positive,
positive,
negative,
positive,
positive,
,positive
,positive
,negative
,positive
,negative
,negative
,positive
,positive
,negative
,neutral
,positive
,positive
positive,positive
positive,positive
,neutral
positive,
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
negative,negative
positive,positive
negative,negative
,positive
,negative
,negative
,negative
,positive
,negative
,negative
,neutral
negative,
positive,
negative,
negative,
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,
positive,
,positive
,negative
,positive
positive,positive
positive,positive
positive,positive
positive,
,positive
,positive
negative,negative
positive,positive
negative,negative
negative,negative
positive,positive
negative,positive
positive,positive
negative,negative
positive,positive
positive,positive
positive,negative
,positive
,negative
,negative
,negative
,negative
,positive
,negative
,positive
,negative
,positive
,negative
,positive
,neutral
,positive
,positive
,negative
,negative
positive,
negative,
positive,
positive,
positive,
positive,
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,
positive,
positive,
,positive
,positive
,positive
negative,positive
positive,positive
negative,positive
positive,positive
positive,positive
negative,negative
negative,negative
positive,positive
negative,negative
,positive
,negative
,positive
,neutral
,negative
,positive
,negative
,negative
,positive
negative,negative
negative,negative
,negative
positive,positive
positive,negative
positive,positive
positive,positive
positive,positive
positive,positive
positive,
positive,
negative,
,negative
,negative
,positive
,negative
,negative
,negative
,negative
,positive
,negative
,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
positive,
,positive
,neutral
positive,positive
negative,positive
neutral,negative
positive,negative
positive,positive
,positive
,positive
,positive
,positive
,negative
,negative
,negative
positive,
negative,
positive,
positive,
negative,
positive,
positive,
positive,positive
positive,positive
negative,positive
,positive
negative,negative
negative,negative
,negative
,negative
,negative
negative,neutral
negative,negative
negative,negative
negative,
negative,
negative,
negative,
negative,positive
negative,negative
positive,
negative,
negative,
negative,
negative,
,neutral
,positive
positive,positive
positive,positive
negative,negative
positive,positive
positive,positive
positive,positive
positive,neutral
positive,positive
negative,negative
positive,positive
positive,
positive,
,negative
,negative
negative,negative
negative,negative
negative,negative
negative,positive
negative,positive
negative,negative
positive,positive
,positive
,negative
,positive
,positive
,negative
,positive
,positive
,negative
negative,
positive,
negative,
negative,negative
positive,positive
negative,negative
negative,neutral
positive,neutral
negative,negative
negative,negative
negative,negative
negative,negative
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
positive,negative
positive,positive
,positive
,negative
,positive
,neutral
,negative
,negative
,negative
,positive
,positive
,positive
,positive
,positive
,negative
negative,
positive,
positive,
positive,
positive,
positive,positive
negative,negative
negative,negative
positive,positive
positive,positive
negative,negative
positive,positive
,positive
,neutral
positive,
positive,
negative,
positive,
negative,negative
negative,negative
positive,positive
negative,negative
positive,positive
positive,positive
negative,negative
negative,negative
positive,
negative,
positive,
positive,positive
positive,
,positive
,positive
,negative
,positive
,positive
,negative
,positive
,positive
,negative
positive,
positive,
positive,positive
positive,positive
positive,positive
positive,positive
positive,
,positive
,negative
negative,negative
positive,
positive,
positive,positive
positive,positive
positive,positive
positive,positive
positive,positive
negative,negative
positive,neutral
negative,neutral
positive,positive
positive,positive
,positive
,negative
positive,
positive,
positive,
negative,
positive,
negative,
positive,negative
positive,positive
positive,positive
,negative
,positive
negative,
