elinevandewalle,haiyanhuang,jefdhondt
false,false,false
Missing,false,false
Missing,Missing,false
false,false,false
false,false,false
false,Missing,false
false,Missing,false
false,false,false
false,Missing,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,Missing
false,false,Missing
false,false,false
Missing,false,Missing
false,Missing,Missing
Missing,true,false
false,Missing,Missing
false,false,false
false,false,false
false,Missing,false
false,Missing,false
false,false,false
Missing,false,false
Missing,false,Missing
Missing,false,Missing
Missing,Missing,false
Missing,false,Missing
Missing,false,false
false,false,false
Missing,false,false
Missing,false,Missing
false,false,false
true,true,true
false,false,Missing
false,false,false
Missing,true,Missing
Missing,false,Missing
false,false,Missing
false,false,Missing
false,false,false
Missing,false,Missing
false,false,false
false,false,Missing
Missing,Missing,false
false,Missing,Missing
false,false,Missing
false,false,false
Missing,false,false
false,Missing,false
Missing,false,Missing
false,Missing,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,false,false
false,false,Missing
Missing,false,Missing
Missing,false,false
Missing,false,Missing
true,true,true
false,false,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
Missing,false,Missing
Missing,false,false
false,Missing,Missing
false,Missing,Missing
Missing,false,Missing
false,false,false
Missing,false,Missing
false,Missing,Missing
Missing,false,false
Missing,false,Missing
false,Missing,Missing
false,false,false
Missing,false,Missing
true,true,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
Missing,false,Missing
Missing,false,false
false,false,false
false,false,false
Missing,false,Missing
false,false,Missing
false,false,Missing
Missing,false,Missing
false,false,Missing
false,false,Missing
false,false,false
false,false,false
Missing,false,Missing
false,false,false
Missing,Missing,false
false,false,false
false,false,Missing
Missing,false,Missing
false,false,false
Missing,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
false,false,false
false,Missing,false
false,Missing,Missing
false,false,false
Missing,false,false
Missing,false,Missing
Missing,false,Missing
false,true,Missing
false,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,false
false,Missing,false
false,false,Missing
true,true,Missing
false,false,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,Missing,true
Missing,false,true
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
false,Missing,Missing
true,true,true
Missing,false,Missing
true,true,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,false
false,Missing,Missing
true,Missing,Missing
false,Missing,false
false,Missing,Missing
Missing,false,true
false,Missing,Missing
Missing,false,false
true,true,false
true,true,Missing
true,true,Missing
false,Missing,Missing
false,Missing,Missing
Missing,Missing,false
false,false,Missing
false,false,false
true,Missing,Missing
false,Missing,Missing
false,false,false
Missing,Missing,false
false,Missing,true
Missing,false,Missing
false,false,false
Missing,false,Missing
false,Missing,false
Missing,false,Missing
false,false,false
Missing,Missing,false
Missing,false,Missing
Missing,false,Missing
false,Missing,false
false,Missing,Missing
false,false,false
false,Missing,Missing
Missing,false,Missing
false,Missing,Missing
false,false,false
false,false,Missing
false,false,false
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
false,false,false
false,Missing,false
false,Missing,Missing
false,false,false
false,false,false
false,false,false
false,false,Missing
false,false,false
Missing,false,Missing
false,false,false
false,false,Missing
Missing,true,Missing
Missing,false,Missing
false,Missing,Missing
false,Missing,false
true,Missing,true
false,Missing,false
false,Missing,Missing
true,true,true
false,true,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
false,false,Missing
false,false,Missing
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
false,Missing,Missing
true,true,false
Missing,false,false
Missing,false,Missing
Missing,Missing,true
Missing,false,Missing
Missing,false,Missing
false,false,false
true,true,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,Missing,false
false,true,false
true,true,true
false,Missing,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
Missing,false,false
Missing,Missing,false
false,Missing,Missing
false,Missing,Missing
false,false,Missing
false,Missing,false
false,Missing,Missing
false,Missing,false
false,false,true
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,Missing,false
Missing,Missing,false
Missing,Missing,false
false,false,false
false,false,false
Missing,Missing,false
false,Missing,Missing
false,false,Missing
false,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,false
false,false,Missing
true,true,true
Missing,false,Missing
Missing,Missing,false
false,Missing,false
false,Missing,false
Missing,Missing,false
false,Missing,false
Missing,Missing,false
Missing,Missing,false
Missing,false,Missing
false,false,false
false,false,false
false,false,Missing
Missing,Missing,false
Missing,Missing,false
false,Missing,Missing
Missing,Missing,false
Missing,Missing,false
Missing,Missing,false
false,false,false
Missing,false,false
false,Missing,false
false,Missing,false
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
Missing,true,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
Missing,false,Missing
false,Missing,false
true,Missing,Missing
Missing,false,false
Missing,false,Missing
false,false,false
Missing,true,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
true,true,Missing
false,false,false
Missing,false,Missing
false,false,Missing
false,Missing,false
false,Missing,Missing
false,Missing,Missing
false,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
false,Missing,false
Missing,true,true
false,false,false
false,false,false
false,false,false
Missing,Missing,false
false,Missing,Missing
true,true,Missing
true,true,true
false,false,Missing
true,true,true
false,false,false
false,false,false
false,Missing,false
false,false,false
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
false,false,Missing
false,Missing,false
Missing,Missing,false
false,false,Missing
Missing,false,Missing
false,Missing,false
Missing,Missing,false
false,false,false
false,false,Missing
false,false,false
false,false,false
false,false,Missing
false,Missing,Missing
Missing,false,false
false,false,false
Missing,false,Missing
false,false,false
false,false,Missing
Missing,true,true
false,false,false
false,Missing,Missing
false,false,Missing
false,false,false
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,false
Missing,false,false
false,Missing,Missing
false,false,false
false,false,Missing
true,true,true
Missing,false,false
false,false,false
true,true,true
Missing,Missing,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,Missing,true
false,false,false
true,true,true
false,false,false
false,Missing,false
false,false,false
false,false,false
false,false,false
Missing,Missing,true
true,true,true
false,false,false
false,false,false
false,false,false
Missing,false,false
Missing,Missing,false
false,false,false
Missing,false,Missing
Missing,false,false
false,Missing,Missing
Missing,false,Missing
Missing,false,false
false,false,Missing
false,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
false,Missing,Missing
false,Missing,Missing
false,false,Missing
Missing,false,Missing
Missing,Missing,false
false,false,Missing
false,false,Missing
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
true,true,false
false,false,Missing
Missing,false,false
true,true,true
false,Missing,Missing
false,false,false
false,false,false
Missing,Missing,false
false,Missing,false
Missing,Missing,false
false,false,false
false,false,false
false,false,false
Missing,Missing,false
false,false,false
Missing,false,false
Missing,Missing,false
false,Missing,Missing
false,false,false
false,true,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,false,false
Missing,false,false
false,false,false
false,true,true
false,Missing,Missing
Missing,false,Missing
false,Missing,false
Missing,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
Missing,Missing,false
Missing,false,Missing
false,Missing,false
