elinevandewalle,haiyanhuang,jefdhondt
negative,negative,negative
,negative,negative
,,negative
negative,negative,negative
negative,negative,negative
negative,,negative
positive,,positive
positive,positive,positive
positive,,
positive,positive,positive
,positive,
,neutral,
,positive,
negative,neutral,
positive,positive,
positive,positive,positive
,positive,
negative,,
,positive,positive
negative,,
positive,positive,positive
negative,negative,negative
positive,,positive
positive,,positive
negative,negative,negative
,positive,positive
,negative,
,positive,
,,negative
,positive,
,positive,positive
positive,positive,positive
,negative,negative
,positive,
positive,positive,positive
positive,positive,positive
positive,positive,
positive,positive,positive
,positive,
,positive,
positive,positive,
negative,negative,
negative,positive,negative
,negative,
neutral,neutral,positive
neutral,neutral,
,,positive
positive,,
positive,positive,
positive,negative,negative
,positive,positive
positive,,positive
,positive,
positive,,
positive,positive,positive
,positive,
,positive,
positive,positive,positive
positive,positive,positive
,positive,positive
neutral,negative,
,positive,
,positive,negative
,negative,
positive,positive,positive
negative,negative,
negative,negative,negative
,negative,
,negative,
negative,negative,negative
,neutral,
,negative,negative
negative,,
positive,,
,positive,
positive,positive,positive
,positive,
negative,,
,negative,negative
,positive,
negative,,
negative,negative,negative
,negative,
neutral,positive,
,positive,
positive,positive,positive
positive,,
,positive,
,neutral,positive
positive,positive,positive
positive,positive,positive
,positive,
positive,positive,
negative,negative,
,positive,
positive,positive,
negative,negative,
positive,positive,positive
positive,positive,positive
,positive,
positive,positive,positive
,,positive
positive,positive,positive
positive,positive,
,positive,
positive,positive,positive
,positive,positive
,positive,
,neutral,
positive,positive,positive
positive,,
positive,positive,positive
positive,,positive
positive,,
positive,positive,positive
,positive,positive
,positive,
,positive,
positive,positive,
negative,negative,
,positive,
,positive,
negative,negative,negative
negative,,negative
negative,negative,
positive,positive,
positive,positive,positive
,,negative
positive,positive,positive
negative,,
,negative,
negative,negative,negative
negative,negative,negative
,,positive
,positive,positive
positive,,
,positive,
,negative,
neutral,,
positive,positive,positive
,positive,
positive,positive,
negative,,
positive,,
,positive,positive
negative,,
negative,,
positive,,positive
negative,,
,negative,positive
negative,,
,positive,positive
positive,positive,positive
negative,negative,
positive,negative,
negative,,
positive,,
,,positive
positive,positive,
positive,positive,positive
positive,,
positive,,
positive,positive,positive
,,positive
positive,,positive
,positive,
positive,positive,positive
,positive,
positive,,positive
,positive,
positive,positive,positive
,,positive
,positive,
,negative,
positive,,negative
positive,,
negative,negative,negative
negative,,
,negative,
positive,,
positive,positive,positive
negative,negative,
negative,negative,negative
negative,,
positive,,
negative,,
positive,positive,positive
positive,,negative
positive,,
positive,positive,positive
positive,positive,positive
negative,negative,negative
neutral,positive,
negative,negative,negative
,neutral,
negative,neutral,negative
negative,positive,
,neutral,
,neutral,
negative,,
negative,,positive
positive,,positive
positive,,positive
negative,,
positive,positive,positive
negative,positive,
,negative,
positive,positive,positive
positive,,
negative,negative,
positive,positive,
negative,,
positive,,
negative,,
,positive,
,,negative
negative,,
positive,positive,positive
,positive,positive
,positive,
,,positive
,positive,
,neutral,
positive,positive,positive
positive,positive,
neutral,,
,positive,
,negative,
,positive,
,negative,
positive,positive,positive
positive,positive,positive
,,positive
positive,negative,positive
positive,positive,positive
negative,,negative
,positive,
,negative,
positive,positive,positive
positive,,
,positive,positive
,,positive
positive,,
negative,,
negative,negative,
negative,,positive
negative,,
positive,,positive
positive,positive,negative
positive,,
,negative,
,,positive
,,negative
negative,negative,neutral
positive,,
,,positive
,,positive
,,negative
positive,positive,positive
positive,positive,positive
,,negative
positive,,
negative,negative,
negative,negative,
,negative,
,positive,
negative,negative,negative
negative,negative,
negative,negative,negative
,negative,
,,negative
neutral,,negative
negative,,negative
,,negative
negative,,negative
,,negative
,,negative
,positive,
positive,positive,negative
negative,negative,negative
neutral,positive,
,,positive
,,negative
positive,,
,,negative
,,negative
,,negative
positive,positive,positive
,positive,positive
positive,,positive
positive,,positive
,positive,
,positive,
,positive,
,positive,
neutral,positive,positive
,negative,
,positive,
positive,positive,positive
,positive,
positive,,positive
negative,,
,positive,positive
,negative,
negative,negative,negative
,negative,
positive,positive,positive
,positive,
,positive,
,negative,
negative,negative,negative
,positive,
,positive,
negative,positive,
positive,positive,positive
,positive,
positive,positive,
negative,,negative
negative,,
positive,,
positive,positive,
negative,,
,negative,
,,positive
negative,,negative
,negative,negative
positive,positive,positive
negative,negative,negative
negative,negative,negative
,,negative
negative,,
positive,positive,
positive,positive,negative
positive,positive,
positive,positive,negative
negative,negative,negative
positive,positive,positive
negative,,negative
negative,negative,negative
negative,,
,positive,
,negative,
negative,negative,
negative,,negative
,,positive
negative,negative,
,positive,
positive,,positive
,,positive
negative,negative,negative
positive,positive,
positive,positive,positive
positive,positive,positive
positive,positive,
positive,,
,positive,positive
positive,positive,positive
,positive,
positive,positive,positive
positive,positive,
,negative,negative
negative,positive,positive
positive,,
negative,negative,
positive,positive,positive
positive,,
negative,,
positive,,
neutral,,
,negative,negative
,positive,positive
neutral,,
negative,negative,negative
positive,positive,
positive,positive,positive
,positive,positive
negative,negative,negative
positive,positive,positive
,,positive
,,positive
negative,negative,negative
neutral,,
,,negative
negative,negative,negative
positive,positive,positive
positive,positive,positive
negative,,negative
negative,negative,negative
positive,positive,positive
negative,negative,negative
,,positive
positive,positive,positive
positive,positive,positive
negative,negative,negative
negative,negative,negative
,negative,negative
,,positive
positive,positive,positive
,positive,
,positive,positive
positive,,
,positive,
,neutral,positive
negative,negative,
positive,positive,
positive,,
,positive,
,negative,
negative,,
positive,,
positive,positive,
,negative,
,,positive
negative,negative,
positive,positive,
,positive,
,negative,
,positive,
positive,positive,positive
positive,positive,
,positive,positive
positive,positive,positive
negative,,
positive,positive,positive
positive,positive,positive
,,positive
negative,,negative
,,positive
positive,positive,positive
positive,positive,positive
neutral,neutral,negative
,,positive
positive,positive,positive
,positive,positive
,,negative
negative,,
positive,positive,positive
positive,positive,positive
,,positive
positive,positive,positive
positive,,
,positive,positive
,positive,positive
negative,negative,negative
negative,positive,positive
negative,,
,positive,
positive,,positive
,positive,
positive,,
,positive,
,positive,
,,negative
,positive,
positive,,positive
