elinevandewalle,haiyanhuang,jefdhondt
false,false,false
Missing,false,false
Missing,Missing,false
false,true,true
true,true,true
false,Missing,false
false,Missing,false
false,false,false
true,Missing,Missing
true,false,true
Missing,true,Missing
Missing,false,Missing
Missing,true,Missing
false,false,Missing
false,false,Missing
true,true,true
Missing,true,Missing
false,Missing,Missing
Missing,false,false
false,Missing,Missing
false,false,false
false,false,false
true,Missing,true
false,Missing,false
false,false,false
Missing,false,false
Missing,false,Missing
Missing,false,Missing
Missing,Missing,true
Missing,true,Missing
Missing,false,false
true,false,false
Missing,false,false
Missing,false,Missing
true,false,false
true,true,true
false,false,Missing
true,true,true
Missing,false,Missing
Missing,true,Missing
true,true,Missing
true,true,Missing
true,true,false
Missing,true,Missing
false,false,false
false,false,Missing
Missing,Missing,false
false,Missing,Missing
false,true,Missing
false,true,true
Missing,false,false
true,Missing,true
Missing,false,Missing
false,Missing,Missing
true,true,true
Missing,true,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,false,false
false,false,Missing
Missing,true,Missing
Missing,false,false
Missing,false,Missing
false,false,false
false,false,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
Missing,true,Missing
Missing,true,true
false,Missing,Missing
false,Missing,Missing
Missing,true,Missing
true,true,true
Missing,true,Missing
false,Missing,Missing
Missing,false,true
Missing,false,Missing
false,Missing,Missing
false,false,false
Missing,false,Missing
false,false,Missing
Missing,true,Missing
false,false,false
false,Missing,Missing
Missing,true,Missing
Missing,true,true
false,false,false
false,false,false
Missing,false,Missing
false,false,Missing
false,false,Missing
Missing,false,Missing
false,false,Missing
false,false,Missing
false,false,false
false,false,false
Missing,false,Missing
false,false,false
Missing,Missing,false
false,false,false
false,false,Missing
Missing,false,Missing
false,false,false
Missing,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
false,false,false
false,Missing,false
false,Missing,Missing
false,true,true
Missing,false,false
Missing,false,Missing
Missing,false,Missing
false,false,Missing
false,true,Missing
Missing,false,Missing
Missing,true,Missing
false,false,false
false,Missing,false
false,false,Missing
false,false,Missing
false,false,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,Missing,false
Missing,false,false
false,Missing,Missing
Missing,true,Missing
Missing,false,Missing
false,Missing,Missing
false,false,false
Missing,false,Missing
false,false,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,true
false,Missing,Missing
false,Missing,Missing
true,Missing,true
false,Missing,Missing
Missing,false,false
false,Missing,Missing
Missing,false,false
false,false,false
false,false,Missing
false,false,Missing
false,Missing,Missing
false,Missing,Missing
Missing,Missing,false
true,false,Missing
false,false,false
true,Missing,Missing
true,Missing,Missing
false,false,false
Missing,Missing,true
false,Missing,false
Missing,false,Missing
false,false,false
Missing,false,Missing
false,Missing,true
Missing,true,Missing
true,true,true
Missing,Missing,false
Missing,false,Missing
Missing,false,Missing
false,Missing,false
false,Missing,Missing
false,false,false
false,Missing,Missing
Missing,false,Missing
false,Missing,Missing
false,false,false
false,false,Missing
false,false,false
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
false,true,false
false,Missing,false
false,Missing,Missing
false,false,false
false,false,false
false,false,false
false,false,Missing
false,false,false
Missing,false,Missing
false,false,false
false,false,Missing
Missing,false,Missing
Missing,false,Missing
false,Missing,Missing
false,Missing,false
false,Missing,false
false,Missing,false
false,Missing,Missing
false,false,false
false,false,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
false,false,Missing
false,false,Missing
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
false,Missing,Missing
true,true,true
Missing,false,false
Missing,false,Missing
Missing,Missing,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
false,false,false
false,false,false
Missing,Missing,false
false,false,false
false,false,false
false,Missing,false
Missing,false,Missing
Missing,false,Missing
false,false,false
false,Missing,Missing
Missing,false,false
Missing,Missing,false
false,Missing,Missing
false,Missing,Missing
false,true,Missing
false,Missing,true
true,Missing,Missing
false,Missing,false
false,false,false
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,Missing,false
Missing,Missing,true
Missing,Missing,false
false,false,false
false,false,false
Missing,Missing,false
false,Missing,Missing
true,true,Missing
true,true,Missing
Missing,false,Missing
Missing,false,Missing
false,true,true
true,true,Missing
false,false,false
Missing,true,Missing
Missing,Missing,true
true,Missing,true
false,Missing,false
Missing,Missing,false
false,Missing,false
Missing,Missing,false
Missing,Missing,false
Missing,true,Missing
true,true,true
false,true,false
false,true,Missing
Missing,Missing,false
Missing,Missing,false
false,Missing,Missing
Missing,Missing,false
Missing,Missing,false
Missing,Missing,false
false,false,false
Missing,false,false
true,Missing,true
true,Missing,true
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
Missing,true,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
false,false,false
Missing,false,Missing
false,Missing,false
false,Missing,Missing
Missing,false,false
Missing,false,Missing
false,false,false
Missing,false,Missing
false,false,false
Missing,false,Missing
Missing,false,Missing
Missing,false,Missing
true,true,true
Missing,false,Missing
Missing,false,Missing
false,false,Missing
false,false,false
Missing,false,Missing
true,false,Missing
false,Missing,false
true,Missing,Missing
true,Missing,Missing
false,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,Missing,false
true,Missing,true
Missing,false,false
false,false,false
false,false,false
false,false,false
Missing,Missing,false
false,Missing,Missing
false,false,Missing
false,false,false
true,false,Missing
false,false,false
true,false,false
true,false,false
false,Missing,false
false,false,false
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
false,false,Missing
false,Missing,false
Missing,Missing,true
false,false,Missing
Missing,false,Missing
true,Missing,true
Missing,Missing,false
false,false,false
false,false,Missing
false,false,false
false,false,false
false,false,Missing
false,Missing,Missing
Missing,true,false
false,true,false
Missing,false,Missing
false,true,false
false,false,Missing
Missing,false,false
false,false,false
false,Missing,Missing
false,false,Missing
false,false,false
true,Missing,Missing
false,Missing,Missing
false,Missing,Missing
false,Missing,Missing
Missing,false,false
Missing,false,false
false,Missing,Missing
false,false,false
false,false,Missing
false,false,false
Missing,false,false
false,true,true
true,true,true
Missing,Missing,false
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,Missing,false
false,false,false
false,false,false
false,false,false
false,Missing,false
false,false,false
true,true,true
false,false,false
Missing,Missing,false
false,false,false
true,true,false
false,false,false
false,false,false
Missing,false,false
Missing,Missing,true
true,true,true
Missing,false,Missing
Missing,false,false
true,Missing,Missing
Missing,false,Missing
Missing,false,false
true,true,Missing
true,true,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
true,Missing,Missing
true,Missing,Missing
false,false,Missing
Missing,false,Missing
Missing,Missing,true
false,true,Missing
false,true,Missing
Missing,false,Missing
Missing,true,Missing
Missing,true,Missing
false,false,false
false,false,Missing
Missing,false,false
false,false,false
false,Missing,Missing
false,false,false
true,true,false
Missing,Missing,false
true,Missing,false
Missing,Missing,false
false,true,false
false,false,false
false,false,false
Missing,Missing,false
false,false,false
Missing,false,false
Missing,Missing,false
false,Missing,Missing
false,false,true
false,false,true
Missing,Missing,false
false,false,false
false,Missing,Missing
Missing,true,false
Missing,true,true
false,true,false
false,false,false
false,Missing,Missing
Missing,false,Missing
false,Missing,false
Missing,false,Missing
false,Missing,Missing
Missing,false,Missing
Missing,false,Missing
Missing,Missing,false
Missing,false,Missing
false,Missing,false
