anno_01,anno_03,anno_02
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,participant,participant
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
participant,no_anno,no_anno
participant,participant,participant
participant,participant,participant
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,participant,no_anno
no_anno,participant,no_anno
no_anno,participant,no_anno
no_anno,participant,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,participant
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
participant,participant,participant
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
participant,participant,participant
participant,participant,participant
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
no_anno,no_anno,no_anno
