security	industry	subindustry	corpussymbol	tickersymbol	allinfo
Apple Inc.	Information Technology	Technology Hardware, Storage & Peripherals	AAPL	AAPL	{'Ticker symbol': 'AAPL', 'Security': 'Apple Inc.', 'SEC filings': 'reports', 'GICS': 'Information Technology', 'GICS Sub Industry': 'Technology Hardware, Storage & Peripherals', 'Address of Headquarters': 'Cupertino, California', 'Date first added': '1982-11-30', 'CIK': '0000320193', 'count': 2530, 'plot_fps': ['./output_corpus_extract/AAPL.png', './output_corpus_extract/AAPL_7mean_roll.png', './output_corpus_extract/AAPL_30mean_roll.png'], 'daily_scraped_mean': 7.6, '7day_scraped_mean': 7.57, '30day_scraped_mean': 7.79, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Amazon.com Inc.	Consumer Discretionary	Internet & Direct Marketing Retail	AMZN	AMZN	{'Ticker symbol': 'AMZN', 'Security': 'Amazon.com Inc.', 'SEC filings': 'reports', 'GICS': 'Consumer Discretionary', 'GICS Sub Industry': 'Internet & Direct Marketing Retail', 'Address of Headquarters': 'Seattle, Washington', 'Date first added': '2005-11-18', 'CIK': '0001018724', 'count': 2155, 'plot_fps': ['./output_corpus_extract/AMZN.png', './output_corpus_extract/AMZN_7mean_roll.png', './output_corpus_extract/AMZN_30mean_roll.png'], 'daily_scraped_mean': 6.03, '7day_scraped_mean': 6.09, '30day_scraped_mean': 6.48, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Facebook, Inc.	Information Technology	Internet Software & Services	FB	FB	{'Ticker symbol': 'FB', 'Security': 'Facebook, Inc.', 'SEC filings': 'reports', 'GICS': 'Information Technology', 'GICS Sub Industry': 'Internet Software & Services', 'Address of Headquarters': 'Menlo Park, California', 'Date first added': '2013-12-23', 'CIK': '0001326801', 'count': 1564, 'plot_fps': ['./output_corpus_extract/FB.png', './output_corpus_extract/FB_7mean_roll.png', './output_corpus_extract/FB_30mean_roll.png'], 'daily_scraped_mean': 4.75, '7day_scraped_mean': 4.77, '30day_scraped_mean': 4.9, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Alphabet Inc Class C	Information Technology	Internet Software & Services	GOOG	GOOG	{'Ticker symbol': 'GOOG', 'Security': 'Alphabet Inc Class C', 'SEC filings': 'reports', 'GICS': 'Information Technology', 'GICS Sub Industry': 'Internet Software & Services', 'Address of Headquarters': 'Mountain View, California', 'Date first added': '', 'CIK': '0001652044', 'count': 1466, 'plot_fps': ['./output_corpus_extract/GOOG.png', './output_corpus_extract/GOOG_7mean_roll.png', './output_corpus_extract/GOOG_30mean_roll.png'], 'daily_scraped_mean': 4.49, '7day_scraped_mean': 4.51, '30day_scraped_mean': 4.65, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Ford Motor	Consumer Discretionary	Automobile Manufacturers	F	F	{'Ticker symbol': 'F', 'Security': 'Ford Motor', 'SEC filings': 'reports', 'GICS': 'Consumer Discretionary', 'GICS Sub Industry': 'Automobile Manufacturers', 'Address of Headquarters': 'Dearborn, Michigan', 'Date first added': '', 'CIK': '0000037996', 'count': 1261, 'plot_fps': ['./output_corpus_extract/F.png', './output_corpus_extract/F_7mean_roll.png', './output_corpus_extract/F_30mean_roll.png'], 'daily_scraped_mean': 4.04, '7day_scraped_mean': 4.08, '30day_scraped_mean': 4.17, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Boeing Company	Industrials	Aerospace & Defense	BA	BA	{'Ticker symbol': 'BA', 'Security': 'Boeing Company', 'SEC filings': 'reports', 'GICS': 'Industrials', 'GICS Sub Industry': 'Aerospace & Defense', 'Address of Headquarters': 'Chicago, Illinois', 'Date first added': '', 'CIK': '0000012927', 'count': 1240, 'plot_fps': ['./output_corpus_extract/BA.png', './output_corpus_extract/BA_7mean_roll.png', './output_corpus_extract/BA_30mean_roll.png'], 'daily_scraped_mean': 3.98, '7day_scraped_mean': 4.0, '30day_scraped_mean': 4.14, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
The Walt Disney Company	Consumer Discretionary	Cable & Satellite	DIS	DIS	{'Ticker symbol': 'DIS', 'Security': 'The Walt Disney Company', 'SEC filings': 'reports', 'GICS': 'Consumer Discretionary', 'GICS Sub Industry': 'Cable & Satellite', 'Address of Headquarters': 'Burbank, California', 'Date first added': '1976-06-30', 'CIK': '0001001039', 'count': 1458, 'plot_fps': ['./output_corpus_extract/DIS.png', './output_corpus_extract/DIS_7mean_roll.png', './output_corpus_extract/DIS_30mean_roll.png'], 'daily_scraped_mean': 3.7, '7day_scraped_mean': 3.74, '30day_scraped_mean': 3.94, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
AT&T Inc.	Telecommunication Services	Integrated Telecommunication Services	T	T	{'Ticker symbol': 'T', 'Security': 'AT&T Inc.', 'SEC filings': 'reports', 'GICS': 'Telecommunication Services', 'GICS Sub Industry': 'Integrated Telecommunication Services', 'Address of Headquarters': 'Dallas, Texas', 'Date first added': '1983-11-30', 'CIK': '0000732717', 'count': 892, 'plot_fps': ['./output_corpus_extract/T.png', './output_corpus_extract/T_7mean_roll.png', './output_corpus_extract/T_30mean_roll.png'], 'daily_scraped_mean': 3.35, '7day_scraped_mean': 3.4, '30day_scraped_mean': 3.42, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
General Electric	Industrials	Industrial Conglomerates	GE	GE	{'Ticker symbol': 'GE', 'Security': 'General Electric', 'SEC filings': 'reports', 'GICS': 'Industrials', 'GICS Sub Industry': 'Industrial Conglomerates', 'Address of Headquarters': 'Fairfield, Connecticut', 'Date first added': '', 'CIK': '0000040545', 'count': 981, 'plot_fps': ['./output_corpus_extract/GE.png', './output_corpus_extract/GE_7mean_roll.png', './output_corpus_extract/GE_30mean_roll.png'], 'daily_scraped_mean': 3.15, '7day_scraped_mean': 3.18, '30day_scraped_mean': 3.31, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
Netflix Inc.	Information Technology	Internet Software & Services	NFLX	NFLX	{'Ticker symbol': 'NFLX', 'Security': 'Netflix Inc.', 'SEC filings': 'reports', 'GICS': 'Information Technology', 'GICS Sub Industry': 'Internet Software & Services', 'Address of Headquarters': 'Los Gatos, California', 'Date first added': '2010-12-20', 'CIK': '0001065280', 'count': 959, 'plot_fps': ['./output_corpus_extract/NFLX.png', './output_corpus_extract/NFLX_7mean_roll.png', './output_corpus_extract/NFLX_30mean_roll.png'], 'daily_scraped_mean': 3.08, '7day_scraped_mean': 3.09, '30day_scraped_mean': 3.11, 'Ticker': None, 'Reason': None, 'Date': None, 'Ticker_1': None, 'Security_1': None}
