annotation_type,cttr,cttr_rank,dugast,dugast_rank,entropy,entropy_rank,hdd,hdd_rank,herdan,herdan_rank,maas,maas_rank,mattr,mattr_rank,msttr,msttr_rank,mtld,mtld_rank,rttr,rttr_rank,somers,somers_rank,token_count,token_count_rank,ttr,ttr_rank,type_count,type_count_rank,rank_all,rank_maas_hdd_mtld
Deal,14.137867136005571,3,81.2328157552421,1,7.791499934936705,11,0.9445851416120252,2,0.9100792471792561,1,0.012310295915545291,1,0.8788516746411577,1,0.8772881355932208,1,126.59446980529681,1,19.993963446767943,3,0.9526155692326549,1,1487,6,0.5184936112979153,5,771,3,1,1
Product/Service,16.052599788163047,1,67.58393074913913,4,9.481566481035452,2,0.9546107618435473,1,0.8776675820255136,8,0.014796416676500246,4,0.8420557851240015,3,0.8402580645161293,4,71.93254885294093,3,22.70180433176765,1,0.9382266526809437,7,3896,1,0.3637063655030801,11,1417,1,2,2
CSR/Brand,11.970566918981282,4,76.56157270700506,2,8.28355230260332,6,0.9426333136971997,3,0.9098406355421299,2,0.013061382683802997,2,0.8067147270854771,9,0.8133333333333335,9,64.47003745318352,7,16.928938086118045,4,0.9510922409984343,2,995,11,0.5366834170854271,2,534,8,3,3
Facility,10.350909701967815,7,67.99807509034719,3,7.312882955284325,12,0.9189185663373858,7,0.9017678195012229,4,0.014706298651415164,3,0.8370984455958511,5,0.8296774193548387,6,68.24285382479525,5,14.638396883422136,7,0.9455529008258409,3,796,13,0.5188442211055276,4,413,10,4,4
Legal,10.638365719170645,6,64.21165287239022,6,7.221310080074255,13,0.9249431647987598,6,0.8924065263816647,6,0.015573497258937261,6,0.8532650972364327,2,0.849,2,71.46411543287329,4,15.044921081536131,6,0.9411040322242562,6,1001,10,0.4755244755244755,6,476,9,5,5
Financing,9.04013353534767,12,65.14975578381603,5,6.853270702489366,15,0.901032664064204,9,0.9029258224180119,3,0.015349251704308182,5,0.8372284644194751,4,0.8363636363636364,5,83.09605263157894,2,12.784679451352511,12,0.9446354401916949,4,558,16,0.5412186379928315,1,302,15,7,5
Macroeconomics,14.738693580906345,2,62.91614657826988,8,9.649291212307876,1,0.9364854086446037,4,0.8692837378016036,9,0.015894171121175787,8,0.8338046411225353,6,0.8295302013422821,7,65.86829983085366,6,20.84366035377903,2,0.9335165618033389,9,3730,2,0.3412868632707775,13,1273,2,6,7
Employment,11.048207575213274,5,61.787119915130354,9,7.835994233896224,10,0.9311193071263529,5,0.8842053915647612,7,0.0161846028973932,9,0.833439490445855,7,0.8431372549019608,3,60.432642330188,8,15.62452499277978,5,0.9374588126996691,8,1280,8,0.43671875,7,559,7,8,8
Investment,9.235461004622199,11,63.928733183106225,7,6.602703978042593,18,0.8389662398354664,12,0.8993481303570107,5,0.015642418521508564,7,0.7924540901502503,11,0.7916666666666669,11,50.01699129325227,9,13.060914207504563,11,0.9430165228357557,5,623,14,0.5232744783306581,3,326,14,9,9
FinancialReport,9.929534454243433,8,50.379665839434,10,8.480322112726167,5,0.9077059332696579,8,0.8502819854064103,12,0.019849278143033326,10,0.811937734836291,8,0.8144000000000003,8,49.88351341001406,10,14.04248229324199,8,0.9197325733820555,12,1887,5,0.32326444091149975,14,610,6,10,9
SecurityValue,9.465175763756633,10,45.47113743410117,14,9.469878728407862,3,0.8736562141721833,10,0.8238144994553588,18,0.02199197241215365,14,0.7969107321965975,10,0.7946666666666665,10,38.880763321925045,11,13.385779935349749,10,0.9068606712992094,14,3015,3,0.24378109452736318,18,735,5,12,11
Rating,8.44491446439103,13,49.40355501130491,11,7.842582521971341,9,0.8352778119980344,13,0.8608981054143482,11,0.020241458327668365,11,0.756089266737509,13,0.7578947368421056,13,27.04236496168463,13,11.942912568622516,13,0.9222925240085729,11,965,12,0.3844559585492228,9,371,12,11,12
Merger/Acquisition,7.492907902221194,14,48.47661170069899,12,7.015098910015413,14,0.8192396114596461,14,0.867498021454315,10,0.020628504446105523,12,0.771824324324323,12,0.7583333333333333,12,28.64002733407363,12,10.59657197693375,14,0.9235764110727577,10,616,15,0.42694805194805197,8,263,16,13,13
SalesVolume,9.822861522097282,9,47.001056179450714,13,9.17966761849845,4,0.8547445759685149,11,0.8307245198738323,14,0.02127611762982486,13,0.7475715800636303,14,0.7498245614035085,14,26.3559261753203,14,13.8916239858628,9,0.9105775273370333,13,2853,4,0.26007711181212756,17,742,4,14,13
Profit/Loss,7.096128532004596,16,40.924204884909486,16,8.039920843937395,8,0.7861156683027737,15,0.8284150799552501,16,0.024435416712732347,16,0.7253600729261602,15,0.7345454545454545,15,22.382816182999477,16,10.035441210303581,16,0.9034188677319727,15,1121,9,0.29973238180196254,15,336,13,15,15
Revenue,7.420637848893115,15,41.37213283577987,15,8.248147544075048,7,0.7468533269290893,16,0.825353904246061,17,0.024170859258557966,15,0.6942518518518477,17,0.6970370370370372,17,18.597636284343654,17,10.494366687363755,15,0.9029421200252186,16,1374,7,0.2831149927219796,16,389,11,16,16
Dividend,5.476003835358973,17,37.640735494526645,17,6.75196929005601,17,0.728894926156734,17,0.8401042611037343,13,0.026566962278019524,17,0.7126614987080098,16,0.7125,16,23.254655914649362,15,7.744238891571744,17,0.9029284173047918,17,411,18,0.3819951338199513,10,157,18,17,17
Expense,5.308012810836085,18,35.80791201489592,18,6.809153176838101,16,0.6984135392160812,18,0.8287745320941199,15,0.027926788905870994,18,0.6511926605504585,18,0.628888888888889,18,16.088360510884407,18,7.5066637063345265,18,0.8964333990664661,18,460,17,0.35,12,161,17,18,18
